Keyword,TodayCount,YesterdayCount,Difference,ChangeType
제이,0.0,1,-1.0,DISAPPEARED
제작,0.0,1,-1.0,DISAPPEARED
제주,0.0,1,-1.0,DISAPPEARED
조각,0.0,1,-1.0,DISAPPEARED
조달,0.0,1,-1.0,DISAPPEARED
조선,0.0,2,-2.0,DISAPPEARED
조카,0.0,1,-1.0,DISAPPEARED
조훈현,0.0,1,-1.0,DISAPPEARED
존재,0.0,1,-1.0,DISAPPEARED
졸업식,0.0,1,-1.0,DISAPPEARED
종료,0.0,1,-1.0,DISAPPEARED
주도,0.0,1,-1.0,DISAPPEARED
주민,0.0,1,-1.0,DISAPPEARED
주우,0.0,1,-1.0,DISAPPEARED
준결승,0.0,1,-1.0,DISAPPEARED
준비,0.0,1,-1.0,DISAPPEARED
준비물,0.0,2,-2.0,DISAPPEARED
지금,0.0,1,-1.0,DISAPPEARED
지난,0.0,1,-1.0,DISAPPEARED
지드래곤,0.0,1,-1.0,DISAPPEARED
지방,0.0,1,-1.0,DISAPPEARED
지식인,0.0,1,-1.0,DISAPPEARED
직원,0.0,1,-1.0,DISAPPEARED
직접,0.0,2,-2.0,DISAPPEARED
진승,0.0,1,-1.0,DISAPPEARED
진짜,0.0,2,-2.0,DISAPPEARED
진화,0.0,1,-1.0,DISAPPEARED
질투,0.0,1,-1.0,DISAPPEARED
집기,0.0,1,-1.0,DISAPPEARED
집대성,0.0,2,-2.0,DISAPPEARED
짜장면,0.0,1,-1.0,DISAPPEARED
짬뽕,0.0,1,-1.0,DISAPPEARED
쯔양,0.0,1,-1.0,DISAPPEARED
차로,0.0,2,-2.0,DISAPPEARED
차이,0.0,1,-1.0,DISAPPEARED
찬가,0.0,1,-1.0,DISAPPEARED
찰스,0.0,1,-1.0,DISAPPEARED
찰승헌,0.0,1,-1.0,DISAPPEARED
찵여오너,0.0,1,-1.0,DISAPPEARED
참기름,0.0,1,-1.0,DISAPPEARED
채널,0.0,1,-1.0,DISAPPEARED
처음,0.0,3,-3.0,DISAPPEARED
천국,0.0,1,-1.0,DISAPPEARED
천재,0.0,1,-1.0,DISAPPEARED
철학,0.0,1,-1.0,DISAPPEARED
청년,0.0,1,-1.0,DISAPPEARED
청문회,0.0,1,-1.0,DISAPPEARED
청춘,0.0,1,-1.0,DISAPPEARED
체리,0.0,1,-1.0,DISAPPEARED
체험,0.0,1,-1.0,DISAPPEARED
초대,0.0,2,-2.0,DISAPPEARED
초대장,0.0,1,-1.0,DISAPPEARED
초대형,0.0,2,-2.0,DISAPPEARED
초반,0.0,1,-1.0,DISAPPEARED
초보,0.0,1,-1.0,DISAPPEARED
초소,0.0,1,-1.0,DISAPPEARED
초초,0.0,1,-1.0,DISAPPEARED
초특,0.0,1,-1.0,DISAPPEARED
최강,0.0,1,-1.0,DISAPPEARED
최고,0.0,2,-2.0,DISAPPEARED
최시훈,0.0,1,-1.0,DISAPPEARED
최애,0.0,1,-1.0,DISAPPEARED
최초,0.0,8,-8.0,DISAPPEARED
추가,0.0,1,-1.0,DISAPPEARED
추구,0.0,1,-1.0,DISAPPEARED
추성훈,0.0,2,-2.0,DISAPPEARED
추적,0.0,1,-1.0,DISAPPEARED
추천,0.0,2,-2.0,DISAPPEARED
출근,0.0,1,-1.0,DISAPPEARED
출발,0.0,1,-1.0,DISAPPEARED
출석,0.0,1,-1.0,DISAPPEARED
출시,0.0,1,-1.0,DISAPPEARED
출연,0.0,1,-1.0,DISAPPEARED
취한,0.0,1,-1.0,DISAPPEARED
치즈,0.0,1,-1.0,DISAPPEARED
친구,0.0,6,-6.0,DISAPPEARED
카메라,0.0,1,-1.0,DISAPPEARED
카츠,0.0,1,-1.0,DISAPPEARED
칼라,0.0,1,-1.0,DISAPPEARED
캐디,0.0,1,-1.0,DISAPPEARED
커플,0.0,5,-5.0,DISAPPEARED
커피,0.0,4,-4.0,DISAPPEARED
컨설팅,0.0,1,-1.0,DISAPPEARED
케미,0.0,2,-2.0,DISAPPEARED
코바,0.0,1,-1.0,DISAPPEARED
코스,0.0,1,-1.0,DISAPPEARED
코스트코,0.0,1,-1.0,DISAPPEARED
콘서트,0.0,3,-3.0,DISAPPEARED
크기,0.0,2,-2.0,DISAPPEARED
크랩,0.0,1,-1.0,DISAPPEARED
크루즈,0.0,1,-1.0,DISAPPEARED
크림,0.0,1,-1.0,DISAPPEARED
키다리,0.0,1,-1.0,DISAPPEARED
키맨,0.0,1,-1.0,DISAPPEARED
키키,0.0,2,-2.0,DISAPPEARED
킬링,0.0,1,-1.0,DISAPPEARED
타고,0.0,1,-1.0,DISAPPEARED
타로,0.0,1,-1.0,DISAPPEARED
타로점,0.0,1,-1.0,DISAPPEARED
타워,0.0,1,-1.0,DISAPPEARED
타짜,0.0,2,-2.0,DISAPPEARED
타파,0.0,1,-1.0,DISAPPEARED
탈출,0.0,1,-1.0,DISAPPEARED
탐방,0.0,2,-2.0,DISAPPEARED
탑승,0.0,1,-1.0,DISAPPEARED
태블릿,0.0,1,-1.0,DISAPPEARED
터키,0.0,1,-1.0,DISAPPEARED
텐션,0.0,1,-1.0,DISAPPEARED
텐트,0.0,1,-1.0,DISAPPEARED
토스트,0.0,2,-2.0,DISAPPEARED
토우,0.0,1,-1.0,DISAPPEARED
토종,0.0,1,-1.0,DISAPPEARED
토트넘,0.0,1,-1.0,DISAPPEARED
통발,0.0,1,-1.0,DISAPPEARED
투어,0.0,1,-1.0,DISAPPEARED
투움바,0.0,1,-1.0,DISAPPEARED
투탁,0.0,1,-1.0,DISAPPEARED
튀르키예,0.0,2,-2.0,DISAPPEARED
튜버,0.0,1,-1.0,DISAPPEARED
튜브,0.0,1,-1.0,DISAPPEARED
트레일러,0.0,1,-1.0,DISAPPEARED
트레저,0.0,1,-1.0,DISAPPEARED
트롯,0.0,4,-4.0,DISAPPEARED
틈새라면,0.0,1,-1.0,DISAPPEARED
티어,0.0,1,-1.0,DISAPPEARED
티저,0.0,1,-1.0,DISAPPEARED
파넨카,0.0,1,-1.0,DISAPPEARED
파스타,0.0,1,-1.0,DISAPPEARED
파악,0.0,1,-1.0,DISAPPEARED
판교,0.0,1,-1.0,DISAPPEARED
패션,0.0,1,-1.0,DISAPPEARED
패틴슨,0.0,1,-1.0,DISAPPEARED
퍼포먼스,0.0,1,-1.0,DISAPPEARED
페레이라,0.0,1,-1.0,DISAPPEARED
편의점,0.0,1,-1.0,DISAPPEARED
편집,0.0,1,-1.0,DISAPPEARED
평생,0.0,1,-1.0,DISAPPEARED
포켓,0.0,1,-1.0,DISAPPEARED
포탈,0.0,1,-1.0,DISAPPEARED
폭싹,0.0,2,-2.0,DISAPPEARED
폭탄,0.0,1,-1.0,DISAPPEARED
프렌즈,0.0,1,-1.0,DISAPPEARED
프로,0.0,2,-2.0,DISAPPEARED
플레이,0.0,1,-1.0,DISAPPEARED
피아,0.0,1,-1.0,DISAPPEARED
피치,0.0,1,-1.0,DISAPPEARED
핑계,0.0,2,-2.0,DISAPPEARED
하나,0.0,1,-1.0,DISAPPEARED
하드코어,0.0,1,-1.0,DISAPPEARED
하루,0.0,1,-1.0,DISAPPEARED
하우스,0.0,1,-1.0,DISAPPEARED
하이라이트,0.0,4,-4.0,DISAPPEARED
하츠,0.0,2,-2.0,DISAPPEARED
학교,0.0,1,-1.0,DISAPPEARED
학번,0.0,1,-1.0,DISAPPEARED
한남동,0.0,1,-1.0,DISAPPEARED
한여름,0.0,1,-1.0,DISAPPEARED
한일,0.0,1,-1.0,DISAPPEARED
한판,0.0,1,-1.0,DISAPPEARED
한형,0.0,2,-2.0,DISAPPEARED
한혜진,0.0,2,-2.0,DISAPPEARED
할머니,0.0,1,-1.0,DISAPPEARED
할인,0.0,1,-1.0,DISAPPEARED
해원,0.0,1,-1.0,DISAPPEARED
해커,0.0,1,-1.0,DISAPPEARED
행복,0.0,1,-1.0,DISAPPEARED
향기,0.0,1,-1.0,DISAPPEARED
허락,0.0,1,-1.0,DISAPPEARED
허준호,0.0,1,-1.0,DISAPPEARED
현경,0.0,2,-2.0,DISAPPEARED
현영,0.0,1,-1.0,DISAPPEARED
현장,0.0,1,-1.0,DISAPPEARED
협상,0.0,6,-6.0,DISAPPEARED
형님,0.0,1,-1.0,DISAPPEARED
형부,0.0,1,-1.0,DISAPPEARED
형아,0.0,1,-1.0,DISAPPEARED
형제,0.0,1,-1.0,DISAPPEARED
혜리,0.0,1,-1.0,DISAPPEARED
호기,0.0,1,-1.0,DISAPPEARED
호시,0.0,1,-1.0,DISAPPEARED
호주,0.0,1,-1.0,DISAPPEARED
호텔,0.0,1,-1.0,DISAPPEARED
혼종,0.0,1,-1.0,DISAPPEARED
화보,0.0,1,-1.0,DISAPPEARED
화사,0.0,2,-2.0,DISAPPEARED
화투,0.0,2,-2.0,DISAPPEARED
확인,0.0,1,-1.0,DISAPPEARED
활동,0.0,2,-2.0,DISAPPEARED
활용,0.0,1,-1.0,DISAPPEARED
황동주,0.0,1,-1.0,DISAPPEARED
회사,0.0,1,-1.0,DISAPPEARED
회수,0.0,1,-1.0,DISAPPEARED
후기,0.0,1,-1.0,DISAPPEARED
휴먼다큐,0.0,1,-1.0,DISAPPEARED
히든,0.0,1,-1.0,DISAPPEARED
