Keyword,TodayCount,YesterdayCount,Difference,ChangeType
달라,0.0,2,-2.0,DISAPPEARED
당장,0.0,1,-1.0,DISAPPEARED
당황,0.0,1,-1.0,DISAPPEARED
대가족,0.0,1,-1.0,DISAPPEARED
대결,0.0,1,-1.0,DISAPPEARED
대국,0.0,1,-1.0,DISAPPEARED
대기업,0.0,1,-1.0,DISAPPEARED
대망,0.0,1,-1.0,DISAPPEARED
대박,0.0,1,-1.0,DISAPPEARED
대신,0.0,1,-1.0,DISAPPEARED
대장정,0.0,1,-1.0,DISAPPEARED
대전,0.0,1,-1.0,DISAPPEARED
대접,0.0,1,-1.0,DISAPPEARED
대창,0.0,1,-1.0,DISAPPEARED
대치동,0.0,1,-1.0,DISAPPEARED
대학,0.0,1,-1.0,DISAPPEARED
대화,0.0,2,-2.0,DISAPPEARED
대회,0.0,1,-1.0,DISAPPEARED
더니,0.0,1,-1.0,DISAPPEARED
데이트,0.0,1,-1.0,DISAPPEARED
데프콘,0.0,1,-1.0,DISAPPEARED
도매,0.0,1,-1.0,DISAPPEARED
도시락,0.0,1,-1.0,DISAPPEARED
도어,0.0,1,-1.0,DISAPPEARED
도전,0.0,2,-2.0,DISAPPEARED
도착,0.0,1,-1.0,DISAPPEARED
도쿄,0.0,1,-1.0,DISAPPEARED
독서,0.0,1,-1.0,DISAPPEARED
독수리,0.0,1,-1.0,DISAPPEARED
독일,0.0,1,-1.0,DISAPPEARED
독자,0.0,1,-1.0,DISAPPEARED
독침,0.0,1,-1.0,DISAPPEARED
돈까스,0.0,1,-1.0,DISAPPEARED
동갑,0.0,1,-1.0,DISAPPEARED
동네,0.0,1,-1.0,DISAPPEARED
동묘,0.0,3,-3.0,DISAPPEARED
동물,0.0,1,-1.0,DISAPPEARED
동생,0.0,1,-1.0,DISAPPEARED
동안,0.0,1,-1.0,DISAPPEARED
둘이서,0.0,1,-1.0,DISAPPEARED
둥이,0.0,1,-1.0,DISAPPEARED
드레스,0.0,1,-1.0,DISAPPEARED
들기름,0.0,1,-1.0,DISAPPEARED
등원,0.0,2,-2.0,DISAPPEARED
등장,0.0,1,-1.0,DISAPPEARED
등촌,0.0,1,-1.0,DISAPPEARED
디스,0.0,1,-1.0,DISAPPEARED
딩고,0.0,1,-1.0,DISAPPEARED
때문,0.0,1,-1.0,DISAPPEARED
떡볶이,0.0,1,-1.0,DISAPPEARED
뚜껑,0.0,1,-1.0,DISAPPEARED
뜨개질,0.0,1,-1.0,DISAPPEARED
라면,0.0,1,-1.0,DISAPPEARED
라이딩,0.0,1,-1.0,DISAPPEARED
라이브,0.0,2,-2.0,DISAPPEARED
라잌,0.0,1,-1.0,DISAPPEARED
란제리,0.0,1,-1.0,DISAPPEARED
