category,views,likes,comments,fetched_at,day_of_week,hour,title_length
Music,437826,5867,666,2025-03-22 03:37:49.817005,2,10,63
Entertainment,125793,2623,201,2025-03-22 03:37:49.817005,4,12,15
People & Blogs,1508882,64219,3064,2025-03-22 03:37:49.817005,3,10,43
Sports,554682,6000,695,2025-03-22 03:37:49.817005,3,9,60
Entertainment,382092,17291,1452,2025-03-22 03:37:49.817005,4,8,50
Film & Animation,1542823,23563,726,2025-03-22 03:37:49.817005,2,9,5
Comedy,661168,6293,877,2025-03-22 03:37:49.817005,3,9,29
People & Blogs,259204,4696,339,2025-03-22 03:37:49.817005,4,9,12
Entertainment,1141417,11505,562,2025-03-22 03:37:49.817005,2,9,88
Music,369537,21238,1432,2025-03-22 03:37:49.817005,2,8,42
Entertainment,474901,2182,135,2025-03-22 03:37:49.817005,5,15,83
Entertainment,1057824,38054,1641,2025-03-22 03:37:49.817005,2,9,47
Music,1674339,43995,3992,2025-03-22 03:37:49.817005,0,13,74
People & Blogs,932542,10112,508,2025-03-22 03:37:49.817005,2,9,63
Entertainment,359799,2009,106,2025-03-22 03:37:49.817005,5,15,82
Entertainment,375097,26088,1891,2025-03-22 03:37:49.817005,3,9,52
People & Blogs,1161268,17990,1517,2025-03-22 03:37:49.817005,1,9,13
Music,796845,30255,1677,2025-03-22 03:37:49.817005,4,9,58
Travel & Events,998915,11325,2722,2025-03-22 03:37:49.817005,2,8,21
Music,13327991,945824,42985,2025-03-22 03:37:49.817005,0,15,47
Entertainment,885111,38803,902,2025-03-22 03:37:49.817005,0,12,42
Entertainment,699232,17848,5150,2025-03-22 03:37:49.817005,3,14,70
Music,153643,9109,1403,2025-03-22 03:37:49.817005,2,9,37
People & Blogs,1984967,49152,3185,2025-03-22 03:37:49.817005,3,9,36
Music,241684,37667,4015,2025-03-22 03:37:49.817005,4,10,53
Music,476030,26868,2012,2025-03-22 03:37:49.817005,1,11,84
Howto & Style,1691907,47408,1226,2025-03-22 03:37:49.817005,1,11,39
People & Blogs,4072581,246337,5593,2025-03-22 03:37:49.817005,6,12,61
Entertainment,1650018,45767,2536,2025-03-22 03:37:49.817005,6,8,18
Entertainment,137530,725,93,2025-03-22 03:37:49.817005,6,0,78
Education,405518,5121,403,2025-03-22 03:37:49.817005,1,12,37
Entertainment,337783,7922,2314,2025-03-22 03:37:49.817005,3,14,80
Music,530964,16440,3632,2025-03-22 03:37:49.817005,0,11,49
Sports,1584292,15981,5041,2025-03-22 03:37:49.817005,6,8,28
Entertainment,226663,3903,282,2025-03-22 03:37:49.817005,2,9,22
Howto & Style,447477,10593,656,2025-03-22 03:37:49.817005,2,8,63
Comedy,1337804,13524,1649,2025-03-22 03:37:49.817005,0,7,9
Entertainment,237114,3207,183,2025-03-22 03:37:49.817005,2,11,40
Music,10693146,551073,36065,2025-03-22 03:37:49.817005,0,8,14
Comedy,339079,5429,316,2025-03-22 03:37:49.817005,4,8,27
Howto & Style,223389,1710,153,2025-03-22 03:37:49.817005,2,0,46
Music,14319152,335290,20289,2025-03-22 03:37:49.817005,0,8,36
Entertainment,696059,11702,660,2025-03-22 03:37:49.817005,0,11,76
Howto & Style,178009,1417,50,2025-03-22 03:37:49.817005,2,2,49
Science & Technology,391199,9461,502,2025-03-22 03:37:49.817005,1,8,46
People & Blogs,324599,5674,448,2025-03-22 03:37:49.817005,1,9,31
Entertainment,889074,10338,941,2025-03-22 03:37:49.817005,3,10,49
Entertainment,206949,7254,300,2025-03-22 03:37:49.817005,1,9,47
Music,545520,54219,5387,2025-03-22 03:37:49.817005,6,9,44
Entertainment,666339,12695,1025,2025-03-22 03:37:49.817005,3,10,50
Comedy,1583775,189550,9564,2025-03-22 03:37:49.817005,1,4,72
Comedy,4389202,42936,4801,2025-03-22 03:37:49.817005,4,9,4
People & Blogs,264845,5407,11839,2025-03-22 03:37:49.817005,1,11,33
Comedy,361436,13445,531,2025-03-22 03:37:49.817005,0,22,54
Entertainment,378760,1624,140,2025-03-22 03:37:49.817005,1,14,71
Music,41735106,2187925,119430,2025-03-22 03:37:49.817005,4,5,37
Entertainment,1751423,26513,4002,2025-03-22 03:37:49.817005,6,23,41
People & Blogs,270656,11215,1034,2025-03-22 03:37:49.817005,1,10,28
Entertainment,410931,6902,346,2025-03-22 03:37:49.817005,3,10,59
Music,2644394,229117,10377,2025-03-22 03:37:49.817005,0,9,29
Comedy,534251,7245,695,2025-03-22 03:37:49.817005,2,10,59
Comedy,5283966,71819,4510,2025-03-22 03:37:49.817005,5,0,19
People & Blogs,574774,6132,467,2025-03-22 03:37:49.817005,6,8,20
Comedy,1079751,122994,5614,2025-03-22 03:37:49.817005,1,4,97
Travel & Events,1120694,16664,1572,2025-03-22 03:37:49.817005,5,4,36
Entertainment,571497,2288,494,2025-03-22 03:37:49.817005,6,4,75
Gaming,395404,7218,431,2025-03-22 03:37:49.817005,5,7,22
Film & Animation,1564676,23200,561,2025-03-22 03:37:49.817005,5,9,25
People & Blogs,311871,5214,256,2025-03-22 03:37:49.817005,6,8,41
Entertainment,236030,1357,90,2025-03-22 03:37:49.817005,6,14,92
Music,14820685,1431299,134752,2025-03-22 03:37:49.817005,4,4,48
Entertainment,378937,5924,1212,2025-03-22 03:37:49.817005,6,11,29
Education,744686,12612,801,2025-03-22 03:37:49.817005,5,13,70
Music,267709,14227,1122,2025-03-22 03:37:49.817005,5,9,9
People & Blogs,243888,12668,470,2025-03-22 03:37:49.817005,6,4,32
Travel & Events,1736735,28643,2946,2025-03-22 03:37:49.817005,3,12,24
Entertainment,753264,11781,1988,2025-03-22 03:37:49.817005,4,7,97
Entertainment,1475252,16739,2274,2025-03-22 03:37:49.817005,6,14,40
Entertainment,1126499,9920,919,2025-03-22 03:37:49.817005,6,13,90
People & Blogs,326747,3155,263,2025-03-22 03:37:49.817005,1,10,33
People & Blogs,371005,15208,4411,2025-03-22 03:37:49.817005,5,7,8
People & Blogs,2934772,59184,4260,2025-03-22 03:37:49.817005,3,9,30
Music,508866,13117,819,2025-03-22 03:37:49.817005,3,9,33
Entertainment,41197550,540370,171813,2025-03-22 03:37:49.817005,4,9,23
Comedy,1846934,24568,1082,2025-03-22 03:37:49.817005,5,3,6
Sports,162876,1450,74,2025-03-22 03:37:49.817005,1,8,46
People & Blogs,782010,28554,1000,2025-03-22 03:37:49.817005,6,11,55
Entertainment,539382,27382,1794,2025-03-22 03:37:49.817005,3,9,46
Entertainment,10321744,0,10965,2025-03-22 03:37:49.817005,3,9,41
Entertainment,881161,10299,741,2025-03-22 03:37:49.817005,3,10,40
Entertainment,1037787,13508,654,2025-03-22 03:37:49.817005,2,9,87
Music,878417,7645,77,2025-03-22 03:37:49.817005,1,9,24
Entertainment,1246631,115100,9341,2025-03-22 03:37:49.817005,4,13,81
People & Blogs,162906,2567,141,2025-03-22 03:37:49.817005,6,11,42
Entertainment,755823,6392,1744,2025-03-22 03:37:49.817005,1,11,99
Comedy,1410877,20421,1100,2025-03-22 03:37:49.817005,1,11,14
People & Blogs,815502,16390,837,2025-03-22 03:37:49.817005,2,7,17
Music,1463762,31408,1434,2025-03-22 03:37:49.817005,1,9,10
Comedy,569888,9055,462,2025-03-22 03:37:49.817005,3,9,18
Entertainment,829225,10451,1182,2025-03-22 03:37:49.817005,2,9,47
People & Blogs,4610432,152023,7324,2025-03-22 03:37:49.817005,0,6,83
Sports,263642,2365,178,2025-03-22 03:37:49.817005,5,3,47
Music,392182,15009,1255,2025-03-22 03:37:49.817005,2,9,32
People & Blogs,921638,36737,2683,2025-03-22 03:37:49.817005,4,9,49
Entertainment,1269466,26989,2751,2025-03-22 03:37:49.817005,1,10,18
Entertainment,1824997,20056,871,2025-03-22 03:37:49.817005,0,9,58
People & Blogs,375377,4084,197,2025-03-22 03:37:49.817005,4,10,41
Entertainment,1677290,20731,1745,2025-03-22 03:37:49.817005,0,9,36
People & Blogs,1685375,35582,4382,2025-03-22 03:37:49.817005,1,9,78
Howto & Style,2611817,63239,5694,2025-03-22 03:37:49.817005,6,1,51
Entertainment,2053165,36261,3245,2025-03-22 03:37:49.817005,2,9,41
People & Blogs,532966,5632,403,2025-03-22 03:37:49.817005,0,12,100
Comedy,968671,16072,2199,2025-03-22 03:37:49.817005,1,11,52
Entertainment,3509283,160736,4889,2025-03-22 03:37:49.817005,0,9,49
