video_id,title,channel,category,published_at,views,likes,comments,fetched_at
qX1nbBkgj5M,임영웅 리사이틀 [RE:CITAL] Behind Ep1. 부끄둥이가 효쟁이로 진화하는 과정🤭,임영웅,Music,2025-03-02T09:16:00Z,611476,54587,5308,2025-03-19 15:09:37.602367
NwQM32qTnNc,[SUB] LA 가즈아! 낭만(?) 가득한 브이로그🇺🇸.mov,최종시안,People & Blogs,2025-03-07T09:00:34Z,414421,9400,1127,2025-03-19 15:09:37.602367
wxmW_rWhYz4,감스트 ‘재료값만 100만원’ 라면 먹방,감스트GAMST,People & Blogs,2025-03-01T11:30:33Z,2228403,28951,1313,2025-03-19 15:09:37.602367
3ggSoiul23E,"맵찔이의 도전🔥미친만두, 엽떡 오리지널, 틈새라면 빨계떡, 마라탕 3단계🔥",[하말넘많] heavytalker,People & Blogs,2025-03-03T11:00:06Z,587294,12613,921,2025-03-19 15:09:37.602367
uVnaxmUwTXc,난생처음 솥뚜껑 삼겹살 먹더니 한국을 떠나지 않겠다는 독일여자들,도른 에밀리 Emilie Dorn,Entertainment,2025-03-03T09:01:00Z,599263,28955,2544,2025-03-19 15:09:37.602367
evMRe8PfSt4,대박!!! 1년간 방치했던 카메라에 전설의 동물이 찍혔습니다..!!,새덕후 Korean Birder,Pets & Animals,2025-03-02T09:00:37Z,1435349,33701,2211,2025-03-19 15:09:37.602367
hP_Dtsy9zC4,[슈블리맘] 250304 💡원샷 괄사 최초 공구💡 라방 편집본 #이수지 #공동구매 #슈블리맘 #원샷괄사 #윤곽정리 #즉각효과 #HDMI승인👍,핫이슈지,People & Blogs,2025-03-04T09:00:10Z,1666814,35392,4370,2025-03-19 15:09:37.602367
nnTrdFokCKk,[SUB] 초초초보유튜버 이시안의 첫 브이로그💗.mov,최종시안,People & Blogs,2025-03-02T09:01:00Z,847125,20734,1601,2025-03-19 15:09:37.602367
74QQZxkALdw,'최초 공개/4K' G-DRAGON - TOO BAD (feat. Anderson .Paak) #엠카운트다운 EP.877 | Mnet 250227 방송,Mnet K-POP,Entertainment,2025-02-27T11:59:00Z,6250558,161708,11492,2025-03-19 15:09:37.602367
4jgVH6y6JMU,"""망하겠구나..."" 말까지 나왔는데, 롯데리아는 어떻게 재기할 수 있었나｜크랩",크랩 KLAB,News & Politics,2025-03-04T08:14:09Z,795557,6668,2905,2025-03-19 15:09:37.602367
xe0XALegbxg,"신작 《좋은 커피, 위대한 커피 출시》!!! 바로 다운 받아봤습니다.",혜안,Gaming,2025-03-01T10:15:11Z,1060421,26867,2048,2025-03-19 15:09:37.602367
76FVceaYrSU,행복 시작,띱 Deep,Comedy,2025-03-01T03:00:08Z,2767933,36357,1527,2025-03-19 15:09:37.602367
SN8hBd7TCCM,[EN] 봄 향기는 핑계고ㅣEP.70,뜬뜬 DdeunDdeun,Comedy,2025-03-01T00:00:06Z,4981450,74910,3694,2025-03-19 15:09:37.602367
LDwAfpcLiYs,[SUB] BangPink in your area 2탄 | 이제 두 명 남았음🤭 | 집대성 ep.46,집대성,People & Blogs,2025-02-28T09:00:26Z,3024951,151710,5750,2025-03-19 15:09:37.602367
T5L5YOxpYlQ,[SUB] 솔로 앨범 내더니 솔로 탈출 원하는 지드래곤의 용타로점 결과는? l EP.18-2,이용진 유튜브 LEEYONGJIN YouTube,Entertainment,2025-02-28T09:00:30Z,1236055,36537,2977,2025-03-19 15:09:37.602367
CGvqj7bzCVY,QWER - '청춘서약',QWER,Entertainment,2025-02-28T09:00:03Z,995054,23258,3207,2025-03-19 15:09:37.602367
8k4czx0V92A,시안이랑 천국도,인생84,People & Blogs,2025-02-28T03:00:09Z,1772372,25702,1682,2025-03-19 15:09:37.602367
0blwZswyUxI,(eng) 웃다가 점점 깊어지는 대화..! - 스포 없는 '봉준호+로버트 패틴슨 [미키 17] 인터뷰',B tv 이동진의 파이아키아,Film & Animation,2025-02-28T12:00:01Z,879697,16190,745,2025-03-19 15:09:37.602367
o9DhvbqYzns,G-DRAGON - TOO BAD (feat. Anderson .Paak) (Official Video),OfficialGDRAGON,People & Blogs,2025-02-25T05:02:00Z,37776915,652835,47800,2025-03-19 15:09:37.602367
x2B5WFLHgtI,이삭토스트 비법 소스 레시피 털었습니다ㅣ워크돌ㅣ이삭토스트ㅣ엔믹스 해원,워크맨-Workman,Entertainment,2025-02-27T10:01:22Z,2498294,40103,4395,2025-03-19 15:09:37.602367
mCknhcRwrCs,[VLOG] 제주살이 급 종료..⁉️😮 무슨 일이..?,리쥬라이크 LIJULIKE,People & Blogs,2025-03-03T12:01:13Z,890768,13610,369,2025-03-19 15:09:37.602367
wRG1soum9xc,아이돌 활동했을 때도 머리 땋고 활동한 거였어요! ㅎㅎ,kiu기우쌤,Howto & Style,2025-03-04T09:15:03Z,870032,10382,492,2025-03-19 15:09:37.602367
VCmbAJwPRPQ,'최초 공개/4K' G-DRAGON - DRAMA #엠카운트다운 EP.877 | Mnet 250227 방송,Mnet K-POP,Entertainment,2025-02-27T11:15:28Z,2175198,91128,6878,2025-03-19 15:09:37.602367
iliGvj09uEc,"[sub] 91즈의 투탁 케미에 혜리를 뿌렸더니.. I 혤's club🍸 ep41 민호, 키",혜리,Entertainment,2025-02-28T09:00:55Z,1048351,28141,1177,2025-03-19 15:09:37.602367
r5VRqWkFpEQ,LISA - FUTW (Vixi Solo Version) (Official Music Video),LLOUD Official,Music,2025-02-28T05:01:26Z,26823904,1490007,89931,2025-03-19 15:09:37.602367
vY4lGJJ2ZzI,"NMIXX(엔믹스) ""Fe3O4: FORWARD"" Story Film Part2: ""High Horse"" Performance Visualizer",JYP Entertainment,Music,2025-03-03T15:00:01Z,2684301,48851,3091,2025-03-19 15:09:37.602367
wXXKyGA-LXc,[휴먼다큐 자식이 좋다] EP.02 '엄마라는 이름으로' Jamie맘 이소담 씨의 아찔한 라이딩 (20250225 방송) #이수지 #핫이슈지 #자식이좋다,핫이슈지,People & Blogs,2025-02-25T09:00:13Z,5469352,105607,14455,2025-03-19 15:09:37.602367
xdagIrJFZgc,눕프핵 사상 최고 고점을 또 뚫었습니다 - 마인크래프트 눕프로해커,우왁굳,Gaming,2025-03-03T03:00:51Z,726398,25222,1701,2025-03-19 15:09:37.602367
wThOHtFEcm8,〈liKe KiiiKiii〉KiiiKiii - I DO ME | Performance | 키키 | 라잌키키,1theK Originals - 원더케이 오리지널,Entertainment,2025-02-27T11:00:10Z,1768757,43754,1904,2025-03-19 15:09:37.602367
lAswF5dOLO0,판교 스타트업 아이돌,살아라! 콸콸이,People & Blogs,2025-02-28T13:28:49Z,341890,13223,1215,2025-03-19 15:09:37.602367
