video_id,title,channel,category,published_at,views,likes,comments,fetched_at
LDwAfpcLiYs,[SUB] BangPink in your area 2탄 | 이제 두 명 남았음🤭 | 집대성 ep.46,집대성,People & Blogs,2025-02-28T09:00:26Z,3025911,151737,5749,2025-03-19 15:42:17.599765
T5L5YOxpYlQ,[SUB] 솔로 앨범 내더니 솔로 탈출 원하는 지드래곤의 용타로점 결과는? l EP.18-2,이용진 유튜브 LEEYONGJIN YouTube,Entertainment,2025-02-28T09:00:30Z,1236248,36541,2977,2025-03-19 15:42:17.599765
CGvqj7bzCVY,QWER - '청춘서약',QWER,Entertainment,2025-02-28T09:00:03Z,995462,23262,3207,2025-03-19 15:42:17.599765
8k4czx0V92A,시안이랑 천국도,인생84,People & Blogs,2025-02-28T03:00:09Z,1772527,25702,1682,2025-03-19 15:42:17.599765
0blwZswyUxI,(eng) 웃다가 점점 깊어지는 대화..! - 스포 없는 '봉준호+로버트 패틴슨 [미키 17] 인터뷰',B tv 이동진의 파이아키아,Film & Animation,2025-02-28T12:00:01Z,879802,16191,745,2025-03-19 15:42:17.599765
o9DhvbqYzns,G-DRAGON - TOO BAD (feat. Anderson .Paak) (Official Video),OfficialGDRAGON,People & Blogs,2025-02-25T05:02:00Z,37787981,652956,47805,2025-03-19 15:42:17.599765
x2B5WFLHgtI,이삭토스트 비법 소스 레시피 털었습니다ㅣ워크돌ㅣ이삭토스트ㅣ엔믹스 해원,워크맨-Workman,Entertainment,2025-02-27T10:01:22Z,2498538,40110,4395,2025-03-19 15:42:17.599765
mCknhcRwrCs,[VLOG] 제주살이 급 종료..⁉️😮 무슨 일이..?,리쥬라이크 LIJULIKE,People & Blogs,2025-03-03T12:01:13Z,890821,13610,369,2025-03-19 15:42:17.599765
wRG1soum9xc,아이돌 활동했을 때도 머리 땋고 활동한 거였어요! ㅎㅎ,kiu기우쌤,Howto & Style,2025-03-04T09:15:03Z,870276,10386,492,2025-03-19 15:42:17.599765
VCmbAJwPRPQ,'최초 공개/4K' G-DRAGON - DRAMA #엠카운트다운 EP.877 | Mnet 250227 방송,Mnet K-POP,Entertainment,2025-02-27T11:15:28Z,2175542,91132,6878,2025-03-19 15:42:17.599765
iliGvj09uEc,"[sub] 91즈의 투탁 케미에 혜리를 뿌렸더니.. I 혤's club🍸 ep41 민호, 키",혜리,Entertainment,2025-02-28T09:00:55Z,1048628,28146,1178,2025-03-19 15:42:17.599765
r5VRqWkFpEQ,LISA - FUTW (Vixi Solo Version) (Official Music Video),LLOUD Official,Music,2025-02-28T05:01:26Z,26838718,1490266,89940,2025-03-19 15:42:17.599765
vY4lGJJ2ZzI,"NMIXX(엔믹스) ""Fe3O4: FORWARD"" Story Film Part2: ""High Horse"" Performance Visualizer",JYP Entertainment,Music,2025-03-03T15:00:01Z,2684703,48869,3092,2025-03-19 15:42:17.599765
wXXKyGA-LXc,[휴먼다큐 자식이 좋다] EP.02 '엄마라는 이름으로' Jamie맘 이소담 씨의 아찔한 라이딩 (20250225 방송) #이수지 #핫이슈지 #자식이좋다,핫이슈지,People & Blogs,2025-02-25T09:00:13Z,5470065,105612,14455,2025-03-19 15:42:17.599765
xdagIrJFZgc,눕프핵 사상 최고 고점을 또 뚫었습니다 - 마인크래프트 눕프로해커,우왁굳,Gaming,2025-03-03T03:00:51Z,726532,25224,1701,2025-03-19 15:42:17.599765
wThOHtFEcm8,〈liKe KiiiKiii〉KiiiKiii - I DO ME | Performance | 키키 | 라잌키키,1theK Originals - 원더케이 오리지널,Entertainment,2025-02-27T11:00:10Z,1769775,43764,1904,2025-03-19 15:42:17.599765
lAswF5dOLO0,판교 스타트업 아이돌,살아라! 콸콸이,People & Blogs,2025-02-28T13:28:49Z,341995,13225,1216,2025-03-19 15:42:17.599765
