Keyword,OldCount,NewCount,Difference,ChangeType,AbsDiff
가지,1,1,0,NO_CHANGE,0
가즈,1,1,0,NO_CHANGE,0
가수,1,1,0,NO_CHANGE,0
가위바위보,1,1,0,NO_CHANGE,0
가장,2,2,0,NO_CHANGE,0
가요무대,2,2,0,NO_CHANGE,0
가족,2,2,0,NO_CHANGE,0
가전,1,1,0,NO_CHANGE,0
가기,1,1,0,NO_CHANGE,0
가득,2,2,0,NO_CHANGE,0
가구,1,1,0,NO_CHANGE,0
가든,1,1,0,NO_CHANGE,0
가면,1,1,0,NO_CHANGE,0
가비,1,1,0,NO_CHANGE,0
갈비,1,1,0,NO_CHANGE,0
간격,1,1,0,NO_CHANGE,0
간식,1,1,0,NO_CHANGE,0
간단,1,1,0,NO_CHANGE,0
가평,1,1,0,NO_CHANGE,0
간이,1,1,0,NO_CHANGE,0
감기,1,1,0,NO_CHANGE,0
감격,1,1,0,NO_CHANGE,0
가짤루,1,1,0,NO_CHANGE,0
가탴,1,1,0,NO_CHANGE,0
나래,1,1,0,NO_CHANGE,0
나지완,1,1,0,NO_CHANGE,0
나우,1,1,0,NO_CHANGE,0
나미,1,1,0,NO_CHANGE,0
나잇,1,1,0,NO_CHANGE,0
김용,3,3,0,NO_CHANGE,0
김원,1,1,0,NO_CHANGE,0
김재중,2,2,0,NO_CHANGE,0
김준호,1,1,0,NO_CHANGE,0
나고야,1,1,0,NO_CHANGE,0
끝장,1,1,0,NO_CHANGE,0
김희재,1,1,0,NO_CHANGE,0
김희철,1,1,0,NO_CHANGE,0
깜짝,1,1,0,NO_CHANGE,0
꿀템,1,1,0,NO_CHANGE,0
꿀벌,1,1,0,NO_CHANGE,0
꼬북칩,1,1,0,NO_CHANGE,0
냉터뷰,1,1,0,NO_CHANGE,0
냉장고,2,2,0,NO_CHANGE,0
납치,1,1,0,NO_CHANGE,0
낭만,1,1,0,NO_CHANGE,0
내기,1,1,0,NO_CHANGE,0
남친,2,2,0,NO_CHANGE,0
남자,1,1,0,NO_CHANGE,0
나혼산,1,1,0,NO_CHANGE,0
나폴리,1,1,0,NO_CHANGE,0
남미,1,1,0,NO_CHANGE,0
난생처음,1,1,0,NO_CHANGE,0
과연,1,1,0,NO_CHANGE,0
관광객,1,1,0,NO_CHANGE,0
과정,1,1,0,NO_CHANGE,0
과감,1,1,0,NO_CHANGE,0
관왕,1,1,0,NO_CHANGE,0
관찰,1,1,0,NO_CHANGE,0
공중파,1,1,0,NO_CHANGE,0
공항,1,1,0,NO_CHANGE,0
괄사,1,1,0,NO_CHANGE,0
구독,1,1,0,NO_CHANGE,0
구이,1,1,0,NO_CHANGE,0
구름,1,1,0,NO_CHANGE,0
교육,1,1,0,NO_CHANGE,0
국물,1,1,0,NO_CHANGE,0
국민,1,1,0,NO_CHANGE,0
광고,1,1,0,NO_CHANGE,0
광탈,1,1,0,NO_CHANGE,0
김소희,1,1,0,NO_CHANGE,0
고품격,1,1,0,NO_CHANGE,0
고추,1,1,0,NO_CHANGE,0
고삐,1,1,0,NO_CHANGE,0
고요,2,2,0,NO_CHANGE,0
고왕,2,2,0,NO_CHANGE,0
공장,1,1,0,NO_CHANGE,0
공구,1,1,0,NO_CHANGE,0
국산,1,1,0,NO_CHANGE,0
기아,1,1,0,NO_CHANGE,0
기자,1,1,0,NO_CHANGE,0
긴장,2,2,0,NO_CHANGE,0
김미숙,2,2,0,NO_CHANGE,0
김광규,1,1,0,NO_CHANGE,0
긴급,2,2,0,NO_CHANGE,0
김사랑,1,1,0,NO_CHANGE,0
기저귀,1,1,0,NO_CHANGE,0
규현,1,1,0,NO_CHANGE,0
군대리아,1,1,0,NO_CHANGE,0
귀국,1,1,0,NO_CHANGE,0
그냥,1,1,0,NO_CHANGE,0
기능,1,1,0,NO_CHANGE,0
기상,1,1,0,NO_CHANGE,0
급찐급빠,1,1,0,NO_CHANGE,0
급식,1,1,0,NO_CHANGE,0
그녀,1,1,0,NO_CHANGE,0
그룹,1,1,0,NO_CHANGE,0
금고,1,1,0,NO_CHANGE,0
근황,2,2,0,NO_CHANGE,0
세대,1,1,0,NO_CHANGE,0
세기,1,1,0,NO_CHANGE,0
세븐,1,1,0,NO_CHANGE,0
설영,1,1,0,NO_CHANGE,0
섭외,1,1,0,NO_CHANGE,0
성견,1,1,0,NO_CHANGE,0
성동일,2,2,0,NO_CHANGE,0
성적,1,1,0,NO_CHANGE,0
소개팅,1,1,0,NO_CHANGE,0
셀폰,1,1,0,NO_CHANGE,0
세안,1,1,0,NO_CHANGE,0
세월,1,1,0,NO_CHANGE,0
세상,1,1,0,NO_CHANGE,0
선택,1,1,0,NO_CHANGE,0
삼겹살,1,1,0,NO_CHANGE,0
삼성,1,1,0,NO_CHANGE,0
살인마,1,1,0,NO_CHANGE,0
살이,1,1,0,NO_CHANGE,0
삼촌,1,1,0,NO_CHANGE,0
삼양라면,1,1,0,NO_CHANGE,0
살롱,1,1,0,NO_CHANGE,0
살림,1,1,0,NO_CHANGE,0
상담,1,1,0,NO_CHANGE,0
새내기,1,1,0,NO_CHANGE,0
상해,1,1,0,NO_CHANGE,0
사이버,1,1,0,NO_CHANGE,0
사전,1,1,0,NO_CHANGE,0
사제,1,1,0,NO_CHANGE,0
사쿠라,2,2,0,NO_CHANGE,0
삭발,1,1,0,NO_CHANGE,0
산골,1,1,0,NO_CHANGE,0
샹궈,1,1,0,NO_CHANGE,0
서막,1,1,0,NO_CHANGE,0
샤브샤브,1,1,0,NO_CHANGE,0
서방,1,1,0,NO_CHANGE,0
서약,1,1,0,NO_CHANGE,0
서울대,1,1,0,NO_CHANGE,0
선물,3,3,0,NO_CHANGE,0
선생님,1,1,0,NO_CHANGE,0
선집,1,1,0,NO_CHANGE,0
선임,1,1,0,NO_CHANGE,0
색깔,2,2,0,NO_CHANGE,0
색안경,1,1,0,NO_CHANGE,0
새우,1,1,0,NO_CHANGE,0
새벽,1,1,0,NO_CHANGE,0
생일,2,2,0,NO_CHANGE,0
샌드위치,1,1,0,NO_CHANGE,0
생각,1,1,0,NO_CHANGE,0
생활,1,1,0,NO_CHANGE,0
생후,1,1,0,NO_CHANGE,0
생존,1,1,0,NO_CHANGE,0
승무원,1,1,0,NO_CHANGE,0
시간,1,1,0,NO_CHANGE,0
승부,1,1,0,NO_CHANGE,0
승호,1,1,0,NO_CHANGE,0
슈퍼주니어,1,1,0,NO_CHANGE,0
스마트폰,1,1,0,NO_CHANGE,0
슈퍼맨,1,1,0,NO_CHANGE,0
스포,1,1,0,NO_CHANGE,0
스타트업,1,1,0,NO_CHANGE,0
스테이,2,2,0,NO_CHANGE,0
스패니시,1,1,0,NO_CHANGE,0
스파이,1,1,0,NO_CHANGE,0
스트리밍,1,1,0,NO_CHANGE,0
스테이크,1,1,0,NO_CHANGE,0
신라면,1,1,0,NO_CHANGE,0
신발,4,4,0,NO_CHANGE,0
신고식,1,1,0,NO_CHANGE,0
식탁,2,2,0,NO_CHANGE,0
신혼집,1,1,0,NO_CHANGE,0
실력,1,1,0,NO_CHANGE,0
신작,1,1,0,NO_CHANGE,0
식빵,1,1,0,NO_CHANGE,0
실전,1,1,0,NO_CHANGE,0
실제,1,1,0,NO_CHANGE,0
시계,1,1,0,NO_CHANGE,0
시안,2,2,0,NO_CHANGE,0
시작,2,2,0,NO_CHANGE,0
시절,1,1,0,NO_CHANGE,0
식당,1,1,0,NO_CHANGE,0
슈블리맘,1,1,0,NO_CHANGE,0
소식,1,1,0,NO_CHANGE,0
소원,1,1,0,NO_CHANGE,0
소녀,1,1,0,NO_CHANGE,0
소리,1,1,0,NO_CHANGE,0
소스,1,1,0,NO_CHANGE,0
소년,1,1,0,NO_CHANGE,0
송하영,1,1,0,NO_CHANGE,0
송필근,1,1,0,NO_CHANGE,0
송도,1,1,0,NO_CHANGE,0
송은이,1,1,0,NO_CHANGE,0
송승환,1,1,0,NO_CHANGE,0
수시,1,1,0,NO_CHANGE,0
숙녀,1,1,0,NO_CHANGE,0
수영장,1,1,0,NO_CHANGE,0
순간,1,1,0,NO_CHANGE,0
숯불,1,1,0,NO_CHANGE,0
쇼핑,1,1,0,NO_CHANGE,0
수능,1,1,0,NO_CHANGE,0
속임수,1,1,0,NO_CHANGE,0
소장품,1,1,0,NO_CHANGE,0
속보,1,1,0,NO_CHANGE,0
손보,1,1,0,NO_CHANGE,0
손빈,1,1,0,NO_CHANGE,0
손흥민,2,2,0,NO_CHANGE,0
바리스타,2,2,0,NO_CHANGE,0
박나래,1,1,0,NO_CHANGE,0
바로,1,1,0,NO_CHANGE,0
박서진,1,1,0,NO_CHANGE,0
미키,1,1,0,NO_CHANGE,0
미용,1,1,0,NO_CHANGE,0
미스터리,1,1,0,NO_CHANGE,0
민호,1,1,0,NO_CHANGE,0
바둑,1,1,0,NO_CHANGE,0
민옥,1,1,0,NO_CHANGE,0
뮤직뱅크,1,1,0,NO_CHANGE,0
뮤직,1,1,0,NO_CHANGE,0
미국인,1,1,0,NO_CHANGE,0
미만,1,1,0,NO_CHANGE,0
배틀,1,1,0,NO_CHANGE,0
백설공주,1,1,0,NO_CHANGE,0
배소현,1,1,0,NO_CHANGE,0
배우,2,2,0,NO_CHANGE,0
박지,1,1,0,NO_CHANGE,0
배꼽,1,1,0,NO_CHANGE,0
박수홍,1,1,0,NO_CHANGE,0
방과후,1,1,0,NO_CHANGE,0
방법,3,3,0,NO_CHANGE,0
발휘,1,1,0,NO_CHANGE,0
발언,1,1,0,NO_CHANGE,0
방치,1,1,0,NO_CHANGE,0
방지,1,1,0,NO_CHANGE,0
박태진,1,1,0,NO_CHANGE,0
박형식,1,1,0,NO_CHANGE,0
발달,1,1,0,NO_CHANGE,0
반응,1,1,0,NO_CHANGE,0
모습,1,1,0,NO_CHANGE,0
모임,1,1,0,NO_CHANGE,0
모자,1,1,0,NO_CHANGE,0
모든,1,1,0,NO_CHANGE,0
모먼트,1,1,0,NO_CHANGE,0
몬븐틴,1,1,0,NO_CHANGE,0
몬스타,1,1,0,NO_CHANGE,0
맥주,1,1,0,NO_CHANGE,0
머리,1,1,0,NO_CHANGE,0
매출,1,1,0,NO_CHANGE,0
멘붕,1,1,0,NO_CHANGE,0
명인,1,1,0,NO_CHANGE,0
면역,1,1,0,NO_CHANGE,0
메이크업,1,1,0,NO_CHANGE,0
모두,1,1,0,NO_CHANGE,0
모델,1,1,0,NO_CHANGE,0
멋대로,2,2,0,NO_CHANGE,0
메시지,1,1,0,NO_CHANGE,0
메드,1,1,0,NO_CHANGE,0
메이드,1,1,0,NO_CHANGE,0
메이,1,1,0,NO_CHANGE,0
물회,1,1,0,NO_CHANGE,0
무려,2,2,0,NO_CHANGE,0
무성,1,1,0,NO_CHANGE,0
무대,2,2,0,NO_CHANGE,0
묵은지,1,1,0,NO_CHANGE,0
무시,1,1,0,NO_CHANGE,0
무조건,1,1,0,NO_CHANGE,0
무제한,1,1,0,NO_CHANGE,0
무슨,1,1,0,NO_CHANGE,0
문화,1,1,0,NO_CHANGE,0
물어,1,1,0,NO_CHANGE,0
비결,1,1,0,NO_CHANGE,0
비명,1,1,0,NO_CHANGE,0
비밀,1,1,0,NO_CHANGE,0
비디오,1,1,0,NO_CHANGE,0
비트박서,1,1,0,NO_CHANGE,0
비법,1,1,0,NO_CHANGE,0
불고기,1,1,0,NO_CHANGE,0
불닭,1,1,0,NO_CHANGE,0
브로콜리,1,1,0,NO_CHANGE,0
사람인,1,1,0,NO_CHANGE,0
사랑,3,3,0,NO_CHANGE,0
사냥꾼,1,1,0,NO_CHANGE,0
사상,1,1,0,NO_CHANGE,0
사실,1,1,0,NO_CHANGE,0
사무실,1,1,0,NO_CHANGE,0
사우나,1,1,0,NO_CHANGE,0
사위,1,1,0,NO_CHANGE,0
사이,1,1,0,NO_CHANGE,0
빡세,2,2,0,NO_CHANGE,0
비행기,1,1,0,NO_CHANGE,0
사나,1,1,0,NO_CHANGE,0
사기,1,1,0,NO_CHANGE,0
버전,1,1,0,NO_CHANGE,0
버터,1,1,0,NO_CHANGE,0
번호,1,1,0,NO_CHANGE,0
법대,1,1,0,NO_CHANGE,0
베이스,1,1,0,NO_CHANGE,0
베텔기우스,1,1,0,NO_CHANGE,0
베트남,1,1,0,NO_CHANGE,0
백지영,1,1,0,NO_CHANGE,0
백화점,1,1,0,NO_CHANGE,0
뱃살,2,2,0,NO_CHANGE,0
봉준호,1,1,0,NO_CHANGE,0
부모,1,1,0,NO_CHANGE,0
복어,2,2,0,NO_CHANGE,0
부순,1,1,0,NO_CHANGE,0
부채,1,1,0,NO_CHANGE,0
부초,1,1,0,NO_CHANGE,0
보이스,1,1,0,NO_CHANGE,0
보장,1,1,0,NO_CHANGE,0
보호,1,1,0,NO_CHANGE,0
분위기,1,1,0,NO_CHANGE,0
북미,1,1,0,NO_CHANGE,0
북한,1,1,0,NO_CHANGE,0
부탁,2,2,0,NO_CHANGE,0
변호사,1,1,0,NO_CHANGE,0
별명,1,1,0,NO_CHANGE,0
보따리,1,1,0,NO_CHANGE,0
보라,1,1,0,NO_CHANGE,0
