Keyword,OldCount,NewCount,Difference,ChangeType,AbsDiff
양금,1,1,0,NO_CHANGE,0
야채,2,2,0,NO_CHANGE,0
어디,1,1,0,NO_CHANGE,0
양세형,1,1,0,NO_CHANGE,0
앨범,1,1,0,NO_CHANGE,0
액세서리,1,1,0,NO_CHANGE,0
야외,1,1,0,NO_CHANGE,0
야생,1,1,0,NO_CHANGE,0
예선,1,1,0,NO_CHANGE,0
엽떡,1,1,0,NO_CHANGE,0
연하,1,1,0,NO_CHANGE,0
영어,1,1,0,NO_CHANGE,0
예고편,1,1,0,NO_CHANGE,0
영지,1,1,0,NO_CHANGE,0
예민,1,1,0,NO_CHANGE,0
예비,1,1,0,NO_CHANGE,0
엘레,1,1,0,NO_CHANGE,0
여름,1,1,0,NO_CHANGE,0
여자,1,1,0,NO_CHANGE,0
여행가,1,1,0,NO_CHANGE,0
여행,3,3,0,NO_CHANGE,0
연패,1,1,0,NO_CHANGE,0
연속,1,1,0,NO_CHANGE,0
연모,1,1,0,NO_CHANGE,0
연결,1,1,0,NO_CHANGE,0
역사,2,2,0,NO_CHANGE,0
역대,1,1,0,NO_CHANGE,0
연세대,1,1,0,NO_CHANGE,0
연세,1,1,0,NO_CHANGE,0
알렉스,1,1,0,NO_CHANGE,0
아빠어디가,1,1,0,NO_CHANGE,0
아산병원,1,1,0,NO_CHANGE,0
아빠,1,1,0,NO_CHANGE,0
아무,1,1,0,NO_CHANGE,0
아이,1,1,0,NO_CHANGE,0
아우,1,1,0,NO_CHANGE,0
아시아,1,1,0,NO_CHANGE,0
아가,1,1,0,NO_CHANGE,0
실존,1,1,0,NO_CHANGE,0
아내,1,1,0,NO_CHANGE,0
아침,1,1,0,NO_CHANGE,0
안방,1,1,0,NO_CHANGE,0
안주,1,1,0,NO_CHANGE,0
안세영,1,1,0,NO_CHANGE,0
악플,1,1,0,NO_CHANGE,0
아파트,1,1,0,NO_CHANGE,0
알람,1,1,0,NO_CHANGE,0
아이스크림,1,1,0,NO_CHANGE,0
월간,1,1,0,NO_CHANGE,0
월드,1,1,0,NO_CHANGE,0
월드컵,1,1,0,NO_CHANGE,0
우지,1,1,0,NO_CHANGE,0
원샷,1,1,0,NO_CHANGE,0
운동,1,1,0,NO_CHANGE,0
우현,1,1,0,NO_CHANGE,0
원더풀라이프,1,1,0,NO_CHANGE,0
워치,1,1,0,NO_CHANGE,0
웃음,1,1,0,NO_CHANGE,0
유우,1,1,0,NO_CHANGE,0
유발,1,1,0,NO_CHANGE,0
유머,1,1,0,NO_CHANGE,0
유럽,1,1,0,NO_CHANGE,0
유치원,1,1,0,NO_CHANGE,0
유튜버,1,1,0,NO_CHANGE,0
유학,1,1,0,NO_CHANGE,0
유학생,1,1,0,NO_CHANGE,0
월세,1,1,0,NO_CHANGE,0
위해,1,1,0,NO_CHANGE,0
유니콘,1,1,0,NO_CHANGE,0
위기,1,1,0,NO_CHANGE,0
와플,1,1,0,NO_CHANGE,0
완도,1,1,0,NO_CHANGE,0
와인,1,1,0,NO_CHANGE,0
완료,1,1,0,NO_CHANGE,0
완치,1,1,0,NO_CHANGE,0
완전체,1,1,0,NO_CHANGE,0
오라,1,1,0,NO_CHANGE,0
오버,1,1,0,NO_CHANGE,0
오만,1,1,0,NO_CHANGE,0
오늘,1,1,0,NO_CHANGE,0
올해,1,1,0,NO_CHANGE,0
올리브영,1,1,0,NO_CHANGE,0
오열,1,1,0,NO_CHANGE,0
왕관,1,1,0,NO_CHANGE,0
왕만,1,1,0,NO_CHANGE,0
외식,1,1,0,NO_CHANGE,0
외로움,1,1,0,NO_CHANGE,0
외국인,1,1,0,NO_CHANGE,0
옐로우,1,1,0,NO_CHANGE,0
우대,1,1,0,NO_CHANGE,0
우리나라,1,1,0,NO_CHANGE,0
우리,3,3,0,NO_CHANGE,0
우정,1,1,0,NO_CHANGE,0
우유,1,1,0,NO_CHANGE,0
요정,1,1,0,NO_CHANGE,0
용빈,1,1,0,NO_CHANGE,0
요즘,2,2,0,NO_CHANGE,0
요리,2,2,0,NO_CHANGE,0
용어,1,1,0,NO_CHANGE,0
용형,1,1,0,NO_CHANGE,0
제이,1,1,0,NO_CHANGE,0
파티,1,1,0,NO_CHANGE,0
티저,1,1,0,NO_CHANGE,0
파넨카,1,1,0,NO_CHANGE,0
파악,1,1,0,NO_CHANGE,0
파스타,1,1,0,NO_CHANGE,0
팩폭,1,1,0,NO_CHANGE,0
판교,1,1,0,NO_CHANGE,0
패틴슨,1,1,0,NO_CHANGE,0
패션,1,1,0,NO_CHANGE,0
핑계,2,2,0,NO_CHANGE,0
틈새라면,1,1,0,NO_CHANGE,0
특별,1,1,0,NO_CHANGE,0
티어,1,1,0,NO_CHANGE,0
플레이,1,1,0,NO_CHANGE,0
피부,1,1,0,NO_CHANGE,0
프로,2,2,0,NO_CHANGE,0
프렌즈,1,1,0,NO_CHANGE,0
폭싹,2,2,0,NO_CHANGE,0
포터,1,1,0,NO_CHANGE,0
포탈,1,1,0,NO_CHANGE,0
폭탄,1,1,0,NO_CHANGE,0
피아,1,1,0,NO_CHANGE,0
피치,1,1,0,NO_CHANGE,0
퍼포먼스,1,1,0,NO_CHANGE,0
편의점,1,1,0,NO_CHANGE,0
편집,1,1,0,NO_CHANGE,0
페레이라,1,1,0,NO_CHANGE,0
포켓,1,1,0,NO_CHANGE,0
평생,1,1,0,NO_CHANGE,0
타코야끼,1,1,0,NO_CHANGE,0
탈출,1,1,0,NO_CHANGE,0
타이거즈,1,1,0,NO_CHANGE,0
타짜,2,2,0,NO_CHANGE,0
탄생,1,1,0,NO_CHANGE,0
타파,1,1,0,NO_CHANGE,0
크기,2,2,0,NO_CHANGE,0
크랩,1,1,0,NO_CHANGE,0
쿤스트,1,1,0,NO_CHANGE,0
키다리,1,1,0,NO_CHANGE,0
크림,1,1,0,NO_CHANGE,0
크루즈,1,1,0,NO_CHANGE,0
타워,1,1,0,NO_CHANGE,0
타로점,1,1,0,NO_CHANGE,0
키키,2,2,0,NO_CHANGE,0
킬링,1,1,0,NO_CHANGE,0
키맨,1,1,0,NO_CHANGE,0
타로,1,1,0,NO_CHANGE,0
타고,1,1,0,NO_CHANGE,0
투탁,1,1,0,NO_CHANGE,0
튀르키예,2,2,0,NO_CHANGE,0
투움바,1,1,0,NO_CHANGE,0
투어,1,1,0,NO_CHANGE,0
튜브,1,1,0,NO_CHANGE,0
트레일러,1,1,0,NO_CHANGE,0
튜버,1,1,0,NO_CHANGE,0
퇴사,1,1,0,NO_CHANGE,0
트레저,1,1,0,NO_CHANGE,0
테스트,1,1,0,NO_CHANGE,0
탑승,1,1,0,NO_CHANGE,0
태린,1,1,0,NO_CHANGE,0
태블릿,1,1,0,NO_CHANGE,0
탐방,2,2,0,NO_CHANGE,0
터키,1,1,0,NO_CHANGE,0
텃세,1,1,0,NO_CHANGE,0
통발,1,1,0,NO_CHANGE,0
토트넘,1,1,0,NO_CHANGE,0
토종,1,1,0,NO_CHANGE,0
텐션,1,1,0,NO_CHANGE,0
텐트,1,1,0,NO_CHANGE,0
토스트,2,2,0,NO_CHANGE,0
토우,1,1,0,NO_CHANGE,0
화제,1,1,0,NO_CHANGE,0
화이트데이,1,1,0,NO_CHANGE,0
황동주,1,1,0,NO_CHANGE,0
활용,1,1,0,NO_CHANGE,0
황인,1,1,0,NO_CHANGE,0
활동,2,2,0,NO_CHANGE,0
화투,2,2,0,NO_CHANGE,0
확인,1,1,0,NO_CHANGE,0
하나,1,1,0,NO_CHANGE,0
호시,1,1,0,NO_CHANGE,0
호기,1,1,0,NO_CHANGE,0
혼종,1,1,0,NO_CHANGE,0
홍진경,1,1,0,NO_CHANGE,0
화보,1,1,0,NO_CHANGE,0
호텔,1,1,0,NO_CHANGE,0
화사,2,2,0,NO_CHANGE,0
호주,1,1,0,NO_CHANGE,0
훈련기,1,1,0,NO_CHANGE,0
훈련,1,1,0,NO_CHANGE,0
훈육,1,1,0,NO_CHANGE,0
히든,1,1,0,NO_CHANGE,0
휴먼다큐,1,1,0,NO_CHANGE,0
희영,1,1,0,NO_CHANGE,0
회사,1,1,0,NO_CHANGE,0
회수,1,1,0,NO_CHANGE,0
후쪽,1,1,0,NO_CHANGE,0
후의,1,1,0,NO_CHANGE,0
후기,1,1,0,NO_CHANGE,0
효능,1,1,0,NO_CHANGE,0
할머니,1,1,0,NO_CHANGE,0
한혜진,2,2,0,NO_CHANGE,0
한형,2,2,0,NO_CHANGE,0
한우,1,1,0,NO_CHANGE,0
한판,1,1,0,NO_CHANGE,0
한일,1,1,0,NO_CHANGE,0
학번,1,1,0,NO_CHANGE,0
한가인,1,1,0,NO_CHANGE,0
학교,1,1,0,NO_CHANGE,0
하루,1,1,0,NO_CHANGE,0
하드코어,1,1,0,NO_CHANGE,0
하우스,1,1,0,NO_CHANGE,0
한여름,1,1,0,NO_CHANGE,0
한남동,1,1,0,NO_CHANGE,0
현장,1,1,0,NO_CHANGE,0
현영,1,1,0,NO_CHANGE,0
형부,1,1,0,NO_CHANGE,0
형아,1,1,0,NO_CHANGE,0
형님,1,1,0,NO_CHANGE,0
혜리,1,1,0,NO_CHANGE,0
형제,1,1,0,NO_CHANGE,0
합류,1,1,0,NO_CHANGE,0
할인,1,1,0,NO_CHANGE,0
향기,1,1,0,NO_CHANGE,0
허락,1,1,0,NO_CHANGE,0
행복,1,1,0,NO_CHANGE,0
핵사,1,1,0,NO_CHANGE,0
해커,1,1,0,NO_CHANGE,0
현경,2,2,0,NO_CHANGE,0
허준호,1,1,0,NO_CHANGE,0
해원,1,1,0,NO_CHANGE,0
지방,1,1,0,NO_CHANGE,0
지식인,1,1,0,NO_CHANGE,0
지드래곤,1,1,0,NO_CHANGE,0
지난,1,1,0,NO_CHANGE,0
지옥,1,1,0,NO_CHANGE,0
준비,1,1,0,NO_CHANGE,0
준비물,2,2,0,NO_CHANGE,0
지금,1,1,0,NO_CHANGE,0
중미,1,1,0,NO_CHANGE,0
지인,2,2,0,NO_CHANGE,0
주인공,1,1,0,NO_CHANGE,0
준결승,1,1,0,NO_CHANGE,0
주체,1,1,0,NO_CHANGE,0
주의,1,1,0,NO_CHANGE,0
주우,1,1,0,NO_CHANGE,0
질문,1,1,0,NO_CHANGE,0
진화,1,1,0,NO_CHANGE,0
진짤루,1,1,0,NO_CHANGE,0
짜장면,1,1,0,NO_CHANGE,0
집앞,1,1,0,NO_CHANGE,0
짬뽕,1,1,0,NO_CHANGE,0
집대성,2,2,0,NO_CHANGE,0
집기,1,1,0,NO_CHANGE,0
찜닭,1,1,0,NO_CHANGE,0
쯔양,1,1,0,NO_CHANGE,0
질투,1,1,0,NO_CHANGE,0
진짜,2,2,0,NO_CHANGE,0
직원,1,1,0,NO_CHANGE,0
직접,2,2,0,NO_CHANGE,0
진승,1,1,0,NO_CHANGE,0
제왕절개,1,1,0,NO_CHANGE,0
제로,1,1,0,NO_CHANGE,0
제안,1,1,0,NO_CHANGE,0
제법,1,1,0,NO_CHANGE,0
정장,1,1,0,NO_CHANGE,0
제대로,1,1,0,NO_CHANGE,0
좀비,1,1,0,NO_CHANGE,0
종료,1,1,0,NO_CHANGE,0
졸업식,1,1,0,NO_CHANGE,0
존재,1,1,0,NO_CHANGE,0
조훈현,1,1,0,NO_CHANGE,0
주년,1,1,0,NO_CHANGE,0
주민,1,1,0,NO_CHANGE,0
주방,1,1,0,NO_CHANGE,0
주도,1,1,0,NO_CHANGE,0
제일,1,1,0,NO_CHANGE,0
제작,1,1,0,NO_CHANGE,0
젤리,1,1,0,NO_CHANGE,0
제주,1,1,0,NO_CHANGE,0
조카,1,1,0,NO_CHANGE,0
조각,1,1,0,NO_CHANGE,0
조달,1,1,0,NO_CHANGE,0
조선,2,2,0,NO_CHANGE,0
조민수,1,1,0,NO_CHANGE,0
출석,1,1,0,NO_CHANGE,0
출시,1,1,0,NO_CHANGE,0
출연,1,1,0,NO_CHANGE,0
추천,2,2,0,NO_CHANGE,0
출근,1,1,0,NO_CHANGE,0
추적,1,1,0,NO_CHANGE,0
추성훈,2,2,0,NO_CHANGE,0
출산,3,3,0,NO_CHANGE,0
출발,1,1,0,NO_CHANGE,0
최후,2,2,0,NO_CHANGE,0
추구,1,1,0,NO_CHANGE,0
추가,1,1,0,NO_CHANGE,0
코드,1,1,0,NO_CHANGE,0
코스,1,1,0,NO_CHANGE,0
코바,1,1,0,NO_CHANGE,0
케미,2,2,0,NO_CHANGE,0
코스트코,1,1,0,NO_CHANGE,0
콜렉터,1,1,0,NO_CHANGE,0
콘서트,3,3,0,NO_CHANGE,0
컨설팅,1,1,0,NO_CHANGE,0
